Atomtypes ,Cuttoff,Ncliques,Distance,Median(Score),Code,Class ,AUC
CA,1.5,5,6,SO,1HEX,NAD,0.4536764706
CA,1.5,5,6,Srel,1HEX,NAD,0.4432773109
CA,1.5,5,6,Tanimoto,1HEX,NAD,0.4432773109
CA,1.5,5,6,GO,1HEX,NAD,0.6025210084
CA,1.5,5,6,aaScore08,1HEX,NAD,0.5991596639
CA,1.5,5,6,aaScore05,1HEX,NAD,0.5544117647
CA,1.5,5,6,SrelScore08,1HEX,NAD,0.4705882353
CA,1.5,5,6,SrelScore05,1HEX,NAD,0.518907563
CA,1.5,5,6,SOScore08,1HEX,NAD,0.4726890756
CA,1.5,5,6,SOScore05,1HEX,NAD,0.493697479
CA,1.5,5,6,RMSD,2A5F,NAD,0.4143907563
CA,1.5,5,6,SO,2A5F,NAD,0.4870798319
CA,1.5,5,6,Srel,2A5F,NAD,0.5505252101
CA,1.5,5,6,Tanimoto,2A5F,NAD,0.5505252101
CA,1.5,5,6,GO,2A5F,NAD,0.6299369748
CA,1.5,5,6,aaScore08,2A5F,NAD,0.5352941176
CA,1.5,5,6,aaScore05,2A5F,NAD,0.468907563
CA,1.5,5,6,SrelScore08,2A5F,NAD,0.5646008403
CA,1.5,5,6,SrelScore05,2A5F,NAD,0.6025210084
CA,1.5,5,6,SOScore08,2A5F,NAD,0.5171218487
CA,1.5,5,6,SOScore05,2A5F,NAD,0.5558823529
CA,1.5,5,6,RMSD,1OG3,NAD,0.4135504202
CA,1.5,5,6,SO,1OG3,NAD,0.4761554622
CA,1.5,5,6,Srel,1OG3,NAD,0.5799369748
CA,1.5,5,6,Tanimoto,1OG3,NAD,0.5799369748
CA,1.5,5,6,GO,1OG3,NAD,0.612289916
CA,1.5,5,6,aaScore08,1OG3,NAD,0.5506302521
CA,1.5,5,6,aaScore05,1OG3,NAD,0.474894958
CA,1.5,5,6,SrelScore08,1OG3,NAD,0.5977941176
CA,1.5,5,6,SrelScore05,1OG3,NAD,0.6214285714
CA,1.5,5,6,SOScore08,1OG3,NAD,0.493802521
CA,1.5,5,6,SOScore05,1OG3,NAD,0.5154411765
CA,1.5,5,6,RMSD,1S7G,NAD,0.4509453782
CA,1.5,5,6,SO,1S7G,NAD,0.3630252101
CA,1.5,5,6,Srel,1S7G,NAD,0.4886554622
CA,1.5,5,6,Tanimoto,1S7G,NAD,0.4886554622
CA,1.5,5,6,GO,1S7G,NAD,0.5317226891
CA,1.5,5,6,aaScore08,1S7G,NAD,0.5663865546
CA,1.5,5,6,aaScore05,1S7G,NAD,0.5638655462
CA,1.5,5,6,SrelScore08,1S7G,NAD,0.4972689076
CA,1.5,5,6,SrelScore05,1S7G,NAD,0.5105042017
CA,1.5,5,6,SOScore08,1S7G,NAD,0.3673319328
CA,1.5,5,6,SOScore05,1S7G,NAD,0.3845588235
CA,1.5,5,6,RMSD,1QAX,NAD,0.4941176471
CA,1.5,5,6,SO,1QAX,NAD,0.2766806723
CA,1.5,5,6,Srel,1QAX,NAD,0.4056722689
CA,1.5,5,6,Tanimoto,1QAX,NAD,0.4056722689
CA,1.5,5,6,GO,1QAX,NAD,0.5704831933
CA,1.5,5,6,aaScore08,1QAX,NAD,0.4959033613
CA,1.5,5,6,aaScore05,1QAX,NAD,0.4768907563
CA,1.5,5,6,SrelScore08,1QAX,NAD,0.4254201681
CA,1.5,5,6,SrelScore05,1QAX,NAD,0.4844537815
CA,1.5,5,6,SOScore08,1QAX,NAD,0.281512605
CA,1.5,5,6,SOScore05,1QAX,NAD,0.3099789916
CA,1.5,5,6,RMSD,1T2D,NAD,0.3594537815
CA,1.5,5,6,SO,1T2D,NAD,0.3494747899
CA,1.5,5,6,Srel,1T2D,NAD,0.5085084034
CA,1.5,5,6,Tanimoto,1T2D,NAD,0.5085084034
CA,1.5,5,6,GO,1T2D,NAD,0.4632352941
CA,1.5,5,6,aaScore08,1T2D,NAD,0.6427521008
CA,1.5,5,6,aaScore05,1T2D,NAD,0.618592437
CA,1.5,5,6,SrelScore08,1T2D,NAD,0.5077731092
CA,1.5,5,6,SrelScore05,1T2D,NAD,0.4994747899
CA,1.5,5,6,SOScore08,1T2D,NAD,0.3391806723
CA,1.5,5,6,SOScore05,1T2D,NAD,0.3387605042
CA,1.5,5,6,RMSD,1MI3,NAD,0.3168067227
CA,1.5,5,6,SO,1MI3,NAD,0.3422268908
CA,1.5,5,6,Srel,1MI3,NAD,0.4713235294
CA,1.5,5,6,Tanimoto,1MI3,NAD,0.4713235294
CA,1.5,5,6,GO,1MI3,NAD,0.5664915966
CA,1.5,5,6,aaScore08,1MI3,NAD,0.6717436975
CA,1.5,5,6,aaScore05,1MI3,NAD,0.6116596639
CA,1.5,5,6,SrelScore08,1MI3,NAD,0.4817226891
CA,1.5,5,6,SrelScore05,1MI3,NAD,0.5140756303
CA,1.5,5,6,SOScore08,1MI3,NAD,0.3468487395
CA,1.5,5,6,SOScore05,1MI3,NAD,0.3720588235
CA,1.5,5,6,RMSD,1IB0,NAD,0.4114495798
CA,1.5,5,6,SO,1IB0,NAD,0.4261554622
CA,1.5,5,6,Srel,1IB0,NAD,0.4659663866
CA,1.5,5,6,Tanimoto,1IB0,NAD,0.4659663866
CA,1.5,5,6,GO,1IB0,NAD,0.4855042017
CA,1.5,5,6,aaScore08,1IB0,NAD,0.6306722689
CA,1.5,5,6,aaScore05,1IB0,NAD,0.6180672269
CA,1.5,5,6,SrelScore08,1IB0,NAD,0.469012605
CA,1.5,5,6,SrelScore05,1IB0,NAD,0.4612394958
CA,1.5,5,6,SOScore08,1IB0,NAD,0.4214285714
CA,1.5,5,6,SOScore05,1IB0,NAD,0.4012605042
CA,1.5,5,6,RMSD,1TOX,NAD,0.4651260504
CA,1.5,5,6,SO,1TOX,NAD,0.537394958
CA,1.5,5,6,Srel,1TOX,NAD,0.5239495798
CA,1.5,5,6,Tanimoto,1TOX,NAD,0.5239495798
CA,1.5,5,6,GO,1TOX,NAD,0.5570378151
CA,1.5,5,6,aaScore08,1TOX,NAD,0.5278361345
CA,1.5,5,6,aaScore05,1TOX,NAD,0.4893907563
CA,1.5,5,6,SrelScore08,1TOX,NAD,0.5225840336
CA,1.5,5,6,SrelScore05,1TOX,NAD,0.5259453782
CA,1.5,5,6,SOScore08,1TOX,NAD,0.5426470588
CA,1.5,5,6,SOScore05,1TOX,NAD,0.5390756303
CA,1.5,5,6,RMSD,1RLZ,NAD,0.5533613445
CA,1.5,5,6,SO,1RLZ,NAD,0.3754201681
CA,1.5,5,6,Srel,1RLZ,NAD,0.4451680672
CA,1.5,5,6,Tanimoto,1RLZ,NAD,0.4451680672
CA,1.5,5,6,GO,1RLZ,NAD,0.637184874
CA,1.5,5,6,aaScore08,1RLZ,NAD,0.4625
CA,1.5,5,6,aaScore05,1RLZ,NAD,0.4239495798
CA,1.5,5,6,SrelScore08,1RLZ,NAD,0.4732142857
CA,1.5,5,6,SrelScore05,1RLZ,NAD,0.5278361345
CA,1.5,5,6,SOScore08,1RLZ,NAD,0.3908613445
CA,1.5,5,6,SOScore05,1RLZ,NAD,0.4334033613
CA,1.5,5,6,RMSD,2NPX,NAD,0.3882352941
CA,1.5,5,6,SO,2NPX,NAD,0.3864495798
CA,1.5,5,6,Srel,2NPX,NAD,0.4776260504
CA,1.5,5,6,Tanimoto,2NPX,NAD,0.4776260504
CA,1.5,5,6,GO,2NPX,NAD,0.5941176471
CA,1.5,5,6,aaScore08,2NPX,NAD,0.5823529412
CA,1.5,5,6,aaScore05,2NPX,NAD,0.525105042
CA,1.5,5,6,SrelScore08,2NPX,NAD,0.4948529412
CA,1.5,5,6,SrelScore05,2NPX,NAD,0.5261554622
CA,1.5,5,6,SOScore08,2NPX,NAD,0.3952731092
CA,1.5,5,6,SOScore05,2NPX,NAD,0.4175420168
CA,1.5,5,6,RMSD,1MEW,NAD,0.3982142857
CA,1.5,5,6,SO,1MEW,NAD,0.5100840336
CA,1.5,5,6,Srel,1MEW,NAD,0.4506302521
CA,1.5,5,6,Tanimoto,1MEW,NAD,0.4506302521
CA,1.5,5,6,GO,1MEW,NAD,0.5271008403
CA,1.5,5,6,aaScore08,1MEW,NAD,0.6197478992
CA,1.5,5,6,aaScore05,1MEW,NAD,0.5860294118
CA,1.5,5,6,SrelScore08,1MEW,NAD,0.4521008403
CA,1.5,5,6,SrelScore05,1MEW,NAD,0.4592436975
CA,1.5,5,6,SOScore08,1MEW,NAD,0.5207983193
CA,1.5,5,6,SOScore05,1MEW,NAD,0.5172268908
CA,1.5,5,6,RMSD,1EJ2,NAD,0.4282563025
CA,1.5,5,6,SO,1EJ2,NAD,0.3571428571
CA,1.5,5,6,Srel,1EJ2,NAD,0.5419117647
CA,1.5,5,6,Tanimoto,1EJ2,NAD,0.5419117647
CA,1.5,5,6,GO,1EJ2,NAD,0.5764705882
CA,1.5,5,6,aaScore08,1EJ2,NAD,0.5719537815
CA,1.5,5,6,aaScore05,1EJ2,NAD,0.5197478992
CA,1.5,5,6,SrelScore08,1EJ2,NAD,0.5470588235
CA,1.5,5,6,SrelScore05,1EJ2,NAD,0.5679621849
CA,1.5,5,6,SOScore08,1EJ2,NAD,0.3616596639
CA,1.5,5,6,SOScore05,1EJ2,NAD,0.3843487395
CA,1.5,5,6,RMSD,1O04,NAD,0.5153361345
CA,1.5,5,6,SO,1O04,NAD,0.3472689076
CA,1.5,5,6,Srel,1O04,NAD,0.4789915966
CA,1.5,5,6,Tanimoto,1O04,NAD,0.4789915966
CA,1.5,5,6,GO,1O04,NAD,0.5920168067
CA,1.5,5,6,aaScore08,1O04,NAD,0.506092437
CA,1.5,5,6,aaScore05,1O04,NAD,0.481302521
CA,1.5,5,6,SrelScore08,1O04,NAD,0.5034663866
CA,1.5,5,6,SrelScore05,1O04,NAD,0.5349789916
CA,1.5,5,6,SOScore08,1O04,NAD,0.3593487395
CA,1.5,5,6,SOScore05,1O04,NAD,0.3717436975
CA,1.5,5,6,RMSD,1JQ5,NAD,0.5230042017
CA,1.5,5,6,SO,1JQ5,NAD,0.3044117647
CA,1.5,5,6,Srel,1JQ5,NAD,0.4401260504
CA,1.5,5,6,Tanimoto,1JQ5,NAD,0.4401260504
CA,1.5,5,6,GO,1JQ5,NAD,0.4858193277
CA,1.5,5,6,aaScore08,1JQ5,NAD,0.5220588235
CA,1.5,5,6,aaScore05,1JQ5,NAD,0.5581932773
CA,1.5,5,6,SrelScore08,1JQ5,NAD,0.4321428571
CA,1.5,5,6,SrelScore05,1JQ5,NAD,0.4266806723
CA,1.5,5,6,SOScore08,1JQ5,NAD,0.2970588235
CA,1.5,5,6,SOScore05,1JQ5,NAD,0.2902310924
CA,1.5,5,6,RMSD,1LBY,PO4,0.5376644737
CA,1.5,5,6,SO,1LBY,PO4,0.2409539474
CA,1.5,5,6,Srel,1LBY,PO4,0.7084703947
CA,1.5,5,6,Tanimoto,1LBY,PO4,0.7084703947
CA,1.5,5,6,GO,1LBY,PO4,0.4696546053
CA,1.5,5,6,aaScore08,1LBY,PO4,0.2606085526
CA,1.5,5,6,aaScore05,1LBY,PO4,0.2658717105
CA,1.5,5,6,SrelScore08,1LBY,PO4,0.7076480263
CA,1.5,5,6,SrelScore05,1LBY,PO4,0.6840460526
CA,1.5,5,6,SOScore08,1LBY,PO4,0.2650493421
CA,1.5,5,6,SOScore05,1LBY,PO4,0.3155427632
CA,1.5,5,6,RMSD,1EUC,PO4,0.4879934211
CA,1.5,5,6,SO,1EUC,PO4,0.5526315789
CA,1.5,5,6,Srel,1EUC,PO4,0.6326480263
CA,1.5,5,6,Tanimoto,1EUC,PO4,0.6326480263
CA,1.5,5,6,GO,1EUC,PO4,0.5822368421
CA,1.5,5,6,aaScore08,1EUC,PO4,0.2802631579
CA,1.5,5,6,aaScore05,1EUC,PO4,0.2304276316
CA,1.5,5,6,SrelScore08,1EUC,PO4,0.6574013158
CA,1.5,5,6,SrelScore05,1EUC,PO4,0.6778782895
CA,1.5,5,6,SOScore08,1EUC,PO4,0.5751644737
CA,1.5,5,6,SOScore05,1EUC,PO4,0.6096217105
CA,1.5,5,6,RMSD,1DAK,PO4,0.5921052632
CA,1.5,5,6,SO,1DAK,PO4,0.1943256579
CA,1.5,5,6,Srel,1DAK,PO4,0.7134046053
CA,1.5,5,6,Tanimoto,1DAK,PO4,0.7134046053
CA,1.5,5,6,GO,1DAK,PO4,0.4513157895
CA,1.5,5,6,aaScore08,1DAK,PO4,0.2615953947
CA,1.5,5,6,aaScore05,1DAK,PO4,0.2561677632
CA,1.5,5,6,SrelScore08,1DAK,PO4,0.7088815789
CA,1.5,5,6,SrelScore05,1DAK,PO4,0.6740131579
CA,1.5,5,6,SOScore08,1DAK,PO4,0.2004934211
CA,1.5,5,6,SOScore05,1DAK,PO4,0.2397203947
CA,1.5,5,6,RMSD,1FBT,PO4,0.5709703947
CA,1.5,5,6,SO,1FBT,PO4,0.2679276316
CA,1.5,5,6,Srel,1FBT,PO4,0.7430098684
CA,1.5,5,6,Tanimoto,1FBT,PO4,0.7430098684
CA,1.5,5,6,GO,1FBT,PO4,0.5300986842
CA,1.5,5,6,aaScore08,1FBT,PO4,0.2889802632
CA,1.5,5,6,aaScore05,1FBT,PO4,0.2858552632
CA,1.5,5,6,SrelScore08,1FBT,PO4,0.7506578947
CA,1.5,5,6,SrelScore05,1FBT,PO4,0.7308388158
CA,1.5,5,6,SOScore08,1FBT,PO4,0.2866776316
CA,1.5,5,6,SOScore05,1FBT,PO4,0.3417763158
CA,1.5,5,6,RMSD,1D1Q,PO4,0.5782894737
CA,1.5,5,6,SO,1D1Q,PO4,0.5350328947
CA,1.5,5,6,Srel,1D1Q,PO4,0.7071546053
CA,1.5,5,6,Tanimoto,1D1Q,PO4,0.7071546053
CA,1.5,5,6,GO,1D1Q,PO4,0.4824835526
CA,1.5,5,6,aaScore08,1D1Q,PO4,0.2880756579
CA,1.5,5,6,aaScore05,1D1Q,PO4,0.3042763158
CA,1.5,5,6,SrelScore08,1D1Q,PO4,0.7101151316
CA,1.5,5,6,SrelScore05,1D1Q,PO4,0.6908717105
CA,1.5,5,6,SOScore08,1D1Q,PO4,0.5412006579
CA,1.5,5,6,SOScore05,1D1Q,PO4,0.5347039474
CA,1.5,5,6,RMSD,1B8O,PO4,0.4141447368
CA,1.5,5,6,SO,1B8O,PO4,0.5901315789
CA,1.5,5,6,Srel,1B8O,PO4,0.6847861842
CA,1.5,5,6,Tanimoto,1B8O,PO4,0.6847861842
CA,1.5,5,6,GO,1B8O,PO4,0.4603618421
CA,1.5,5,6,aaScore08,1B8O,PO4,0.4208059211
CA,1.5,5,6,aaScore05,1B8O,PO4,0.3997532895
CA,1.5,5,6,SrelScore08,1B8O,PO4,0.6828947368
CA,1.5,5,6,SrelScore05,1B8O,PO4,0.6550164474
CA,1.5,5,6,SOScore08,1B8O,PO4,0.5958881579
CA,1.5,5,6,SOScore05,1B8O,PO4,0.5772203947
CA,1.5,5,6,RMSD,1HO5,PO4,0.4472039474
CA,1.5,5,6,SO,1HO5,PO4,0.40625
CA,1.5,5,6,Srel,1HO5,PO4,0.4560855263
CA,1.5,5,6,Tanimoto,1HO5,PO4,0.4560855263
CA,1.5,5,6,GO,1HO5,PO4,0.4881578947
CA,1.5,5,6,aaScore08,1HO5,PO4,0.3875
CA,1.5,5,6,aaScore05,1HO5,PO4,0.3848684211
CA,1.5,5,6,SrelScore08,1HO5,PO4,0.4569078947
CA,1.5,5,6,SrelScore05,1HO5,PO4,0.4529605263
CA,1.5,5,6,SOScore08,1HO5,PO4,0.4118421053
CA,1.5,5,6,SOScore05,1HO5,PO4,0.4208881579
CA,1.5,5,6,RMSD,1TCO,PO4,0.3883223684
CA,1.5,5,6,SO,1TCO,PO4,0.3514802632
CA,1.5,5,6,Srel,1TCO,PO4,0.3868421053
CA,1.5,5,6,Tanimoto,1TCO,PO4,0.3868421053
CA,1.5,5,6,GO,1TCO,PO4,0.4258223684
CA,1.5,5,6,aaScore08,1TCO,PO4,0.3328947368
CA,1.5,5,6,aaScore05,1TCO,PO4,0.3325657895
CA,1.5,5,6,SrelScore08,1TCO,PO4,0.3888157895
CA,1.5,5,6,SrelScore05,1TCO,PO4,0.3891447368
CA,1.5,5,6,SOScore08,1TCO,PO4,0.3478618421
CA,1.5,5,6,SOScore05,1TCO,PO4,0.3537828947
CA,1.5,5,6,RMSD,1CQJ,PO4,0.4870888158
CA,1.5,5,6,SO,1CQJ,PO4,0.2516447368
CA,1.5,5,6,Srel,1CQJ,PO4,0.7547697368
CA,1.5,5,6,Tanimoto,1CQJ,PO4,0.7547697368
CA,1.5,5,6,GO,1CQJ,PO4,0.4177631579
CA,1.5,5,6,aaScore08,1CQJ,PO4,0.3263980263
CA,1.5,5,6,aaScore05,1CQJ,PO4,0.3344572368
CA,1.5,5,6,SrelScore08,1CQJ,PO4,0.7435855263
CA,1.5,5,6,SrelScore05,1CQJ,PO4,0.6912006579
CA,1.5,5,6,SOScore08,1CQJ,PO4,0.2532894737
CA,1.5,5,6,SOScore05,1CQJ,PO4,0.2726973684
CA,1.5,5,6,RMSD,1L7M,PO4,0.5
CA,1.5,5,6,SO,1L7M,PO4,0.3471217105
CA,1.5,5,6,Srel,1L7M,PO4,0.6635690789
CA,1.5,5,6,Tanimoto,1L7M,PO4,0.6635690789
CA,1.5,5,6,GO,1L7M,PO4,0.4045230263
CA,1.5,5,6,aaScore08,1L7M,PO4,0.3115131579
CA,1.5,5,6,aaScore05,1L7M,PO4,0.3148848684
CA,1.5,5,6,SrelScore08,1L7M,PO4,0.6553453947
CA,1.5,5,6,SrelScore05,1L7M,PO4,0.6131578947
CA,1.5,5,6,SOScore08,1L7M,PO4,0.3513980263
CA,1.5,5,6,SOScore05,1L7M,PO4,0.3491776316
CA,1.5,5,6,RMSD,1QF5,PO4,0.5254111842
CA,1.5,5,6,SO,1QF5,PO4,0.3387335526
CA,1.5,5,6,Srel,1QF5,PO4,0.7493421053
CA,1.5,5,6,Tanimoto,1QF5,PO4,0.7493421053
CA,1.5,5,6,GO,1QF5,PO4,0.5614309211
CA,1.5,5,6,aaScore08,1QF5,PO4,0.3393092105
CA,1.5,5,6,aaScore05,1QF5,PO4,0.3240131579
CA,1.5,5,6,SrelScore08,1QF5,PO4,0.7680098684
CA,1.5,5,6,SrelScore05,1QF5,PO4,0.7823190789
CA,1.5,5,6,SOScore08,1QF5,PO4,0.3671052632
CA,1.5,5,6,SOScore05,1QF5,PO4,0.3952302632
CA,1.5,5,6,RMSD,1BRW,PO4,0.5392269737
CA,1.5,5,6,SO,1BRW,PO4,0.2853618421
CA,1.5,5,6,Srel,1BRW,PO4,0.678125
CA,1.5,5,6,Tanimoto,1BRW,PO4,0.678125
CA,1.5,5,6,GO,1BRW,PO4,0.4534539474
CA,1.5,5,6,aaScore08,1BRW,PO4,0.2654605263
CA,1.5,5,6,aaScore05,1BRW,PO4,0.2688322368
CA,1.5,5,6,SrelScore08,1BRW,PO4,0.6849506579
CA,1.5,5,6,SrelScore05,1BRW,PO4,0.6572368421
CA,1.5,5,6,SOScore08,1BRW,PO4,0.2777138158
CA,1.5,5,6,SOScore05,1BRW,PO4,0.3083059211
CA,1.5,5,6,RMSD,1L5W,PO4,0.5270559211
CA,1.5,5,6,SO,1L5W,PO4,0.2324835526
CA,1.5,5,6,Srel,1L5W,PO4,0.6960526316
CA,1.5,5,6,Tanimoto,1L5W,PO4,0.6960526316
CA,1.5,5,6,GO,1L5W,PO4,0.3921052632
CA,1.5,5,6,aaScore08,1L5W,PO4,0.2814144737
CA,1.5,5,6,aaScore05,1L5W,PO4,0.2949013158
CA,1.5,5,6,SrelScore08,1L5W,PO4,0.6894736842
CA,1.5,5,6,SrelScore05,1L5W,PO4,0.6401315789
CA,1.5,5,6,SOScore08,1L5W,PO4,0.2259868421
CA,1.5,5,6,SOScore05,1L5W,PO4,0.2606907895
CA,1.5,5,6,RMSD,1E9G,PO4,0.4686677632
CA,1.5,5,6,SO,1E9G,PO4,0.4615953947
CA,1.5,5,6,Srel,1E9G,PO4,0.4920230263
CA,1.5,5,6,Tanimoto,1E9G,PO4,0.4920230263
CA,1.5,5,6,GO,1E9G,PO4,0.453125
CA,1.5,5,6,aaScore08,1E9G,PO4,0.4546052632
CA,1.5,5,6,aaScore05,1E9G,PO4,0.4594572368
CA,1.5,5,6,SrelScore08,1E9G,PO4,0.4928453947
CA,1.5,5,6,SrelScore05,1E9G,PO4,0.4859375
CA,1.5,5,6,SOScore08,1E9G,PO4,0.4601151316
CA,1.5,5,6,SOScore05,1E9G,PO4,0.4617598684
CA,1.5,5,6,RMSD,1A6Q,PO4,0.7712171053
CA,1.5,5,6,SO,1A6Q,PO4,0.1340460526
CA,1.5,5,6,Srel,1A6Q,PO4,0.6610197368
CA,1.5,5,6,Tanimoto,1A6Q,PO4,0.6610197368
CA,1.5,5,6,GO,1A6Q,PO4,0.7259868421
CA,1.5,5,6,aaScore08,1A6Q,PO4,0.1389802632
CA,1.5,5,6,aaScore05,1A6Q,PO4,0.13125
CA,1.5,5,6,SrelScore08,1A6Q,PO4,0.6932565789
CA,1.5,5,6,SrelScore05,1A6Q,PO4,0.7376644737
CA,1.5,5,6,SOScore08,1A6Q,PO4,0.1580592105
CA,1.5,5,6,SOScore05,1A6Q,PO4,0.2095394737
CA,1.5,5,6,RMSD,1EW2,PO4,0.5799342105
CA,1.5,5,6,SO,1EW2,PO4,0.4098684211
CA,1.5,5,6,Srel,1EW2,PO4,0.6412006579
CA,1.5,5,6,Tanimoto,1EW2,PO4,0.6412006579
CA,1.5,5,6,GO,1EW2,PO4,0.5240953947
CA,1.5,5,6,aaScore08,1EW2,PO4,0.2633223684
CA,1.5,5,6,aaScore05,1EW2,PO4,0.2567434211
CA,1.5,5,6,SrelScore08,1EW2,PO4,0.6533717105
CA,1.5,5,6,SrelScore05,1EW2,PO4,0.6481085526
CA,1.5,5,6,SOScore08,1EW2,PO4,0.4217105263
CA,1.5,5,6,SOScore05,1EW2,PO4,0.4796052632
CA,1.5,5,6,RMSD,1EJD,PO4,0.4440789474
CA,1.5,5,6,SO,1EJD,PO4,0.2692434211
CA,1.5,5,6,Srel,1EJD,PO4,0.6908717105
CA,1.5,5,6,Tanimoto,1EJD,PO4,0.6908717105
CA,1.5,5,6,GO,1EJD,PO4,0.3685855263
CA,1.5,5,6,aaScore08,1EJD,PO4,0.3912006579
CA,1.5,5,6,aaScore05,1EJD,PO4,0.4183388158
CA,1.5,5,6,SrelScore08,1EJD,PO4,0.6861842105
CA,1.5,5,6,SrelScore05,1EJD,PO4,0.6513980263
CA,1.5,5,6,SOScore08,1EJD,PO4,0.2540296053
CA,1.5,5,6,SOScore05,1EJD,PO4,0.2579769737
CA,1.5,5,6,RMSD,1GYP,PO4,0.6270559211
CA,1.5,5,6,SO,1GYP,PO4,0.3024671053
CA,1.5,5,6,Srel,1GYP,PO4,0.7277138158
CA,1.5,5,6,Tanimoto,1GYP,PO4,0.7277138158
CA,1.5,5,6,GO,1GYP,PO4,0.5268092105
CA,1.5,5,6,aaScore08,1GYP,PO4,0.3241776316
CA,1.5,5,6,aaScore05,1GYP,PO4,0.3268092105
CA,1.5,5,6,SrelScore08,1GYP,PO4,0.725
CA,1.5,5,6,SrelScore05,1GYP,PO4,0.7097039474
CA,1.5,5,6,SOScore08,1GYP,PO4,0.3040296053
CA,1.5,5,6,SOScore05,1GYP,PO4,0.3201480263
CA,1.5,5,6,RMSD,1H6L,PO4,0.3527960526
CA,1.5,5,6,SO,1H6L,PO4,0.3432565789
CA,1.5,5,6,Srel,1H6L,PO4,0.4144736842
CA,1.5,5,6,Tanimoto,1H6L,PO4,0.4144736842
CA,1.5,5,6,GO,1H6L,PO4,0.5042763158
CA,1.5,5,6,aaScore08,1H6L,PO4,0.3274671053
CA,1.5,5,6,aaScore05,1H6L,PO4,0.3175986842
CA,1.5,5,6,SrelScore08,1H6L,PO4,0.4238486842
CA,1.5,5,6,SrelScore05,1H6L,PO4,0.4365131579
CA,1.5,5,6,SOScore08,1H6L,PO4,0.3509868421
