code,class,P/L,atomtype,total
1EJ2,NAD,PKT,DON,42
1EJ2,NAD,PKT,total,162
1EJ2,NAD,LIG,P,2
1EJ2,NAD,LIG,C,21
1EJ2,NAD,LIG,O,14
1EJ2,NAD,LIG,N,7
1EJ2,NAD,LIG,total,44
1EQG,HEM,PKT,ACC,32
1EQG,HEM,PKT,CB,6
1EQG,HEM,PKT,CA,18
1EQG,HEM,PKT,GRE,54
1EQG,HEM,PKT,DON,31
1EQG,HEM,PKT,total,141
1EQG,HEM,LIG,C,34
1EQG,HEM,LIG,FE,1
1EQG,HEM,LIG,O,4
1EQG,HEM,LIG,N,4
1EQG,HEM,LIG,total,43
1ESQ,ATP,PKT,ACC,29
1ESQ,ATP,PKT,CB,5
1ESQ,ATP,PKT,CA,17
1ESQ,ATP,PKT,GRE,22
1ESQ,ATP,PKT,DON,24
1ESQ,ATP,PKT,total,97
1ESQ,ATP,LIG,P,3
1ESQ,ATP,LIG,C,10
1ESQ,ATP,LIG,O,13
1ESQ,ATP,LIG,N,5
1ESQ,ATP,LIG,total,31
1EVI,FAD,PKT,ACC,52
1EVI,FAD,PKT,CB,8
1EVI,FAD,PKT,CA,45
1EVI,FAD,PKT,GRE,68
1EVI,FAD,PKT,DON,59
1EVI,FAD,PKT,total,232
1EVI,FAD,LIG,P,2
1EVI,FAD,LIG,C,27
1EVI,FAD,LIG,O,15
1EVI,FAD,LIG,N,9
1EVI,FAD,LIG,total,53
1EW0,HEM,PKT,ACC,23
1EW0,HEM,PKT,CB,4
1EW0,HEM,PKT,CA,20
1EW0,HEM,PKT,GRE,75
1EW0,HEM,PKT,DON,31
1EW0,HEM,PKT,total,153
1EW0,HEM,LIG,C,34
1EW0,HEM,LIG,FE,1
1EW0,HEM,LIG,O,4
1EW0,HEM,LIG,N,4
1EW0,HEM,LIG,total,43
1F5V,FMN,PKT,ACC,25
1F5V,FMN,PKT,CB,7
1F5V,FMN,PKT,CA,16
1F5V,FMN,PKT,GRE,40
1F5V,FMN,PKT,DON,34
1F5V,FMN,PKT,total,122
1F5V,FMN,LIG,P,1
1F5V,FMN,LIG,C,17
1F5V,FMN,LIG,O,9
1F5V,FMN,LIG,N,4
1F5V,FMN,LIG,total,31
1FDS,EST,PKT,ACC,12
1FDS,EST,PKT,CB,3
1FDS,EST,PKT,CA,8
1FDS,EST,PKT,GRE,35
1FDS,EST,PKT,DON,12
1FDS,EST,PKT,total,70
1FDS,EST,LIG,C,18
1FDS,EST,LIG,O,2
1FDS,EST,LIG,total,20
1GN8,ATP,PKT,ACC,26
1GN8,ATP,PKT,CB,6
1GN8,ATP,PKT,CA,17
1GN8,ATP,PKT,GRE,31
1GN8,ATP,PKT,DON,35
1GN8,ATP,PKT,total,115
1GN8,ATP,LIG,P,3
1GN8,ATP,LIG,C,10
1GN8,ATP,LIG,O,13
1GN8,ATP,LIG,N,5
1GN8,ATP,LIG,total,31
1GWE,HEM,PKT,ACC,37
1GWE,HEM,PKT,CB,4
1GWE,HEM,PKT,CA,27
1GWE,HEM,PKT,GRE,55
1GWE,HEM,PKT,DON,46
1GWE,HEM,PKT,total,169
1GWE,HEM,LIG,C,34
1GWE,HEM,LIG,FE,1
1GWE,HEM,LIG,O,4
1GWE,HEM,LIG,N,4
1GWE,HEM,LIG,total,43
1H69,FAD,PKT,ACC,37
1H69,FAD,PKT,CB,5
1H69,FAD,PKT,CA,23
1H69,FAD,PKT,GRE,61
1H69,FAD,PKT,DON,37
1H69,FAD,PKT,total,163
1H69,FAD,LIG,P,2
1H69,FAD,LIG,C,27
1H69,FAD,LIG,O,15
1H69,FAD,LIG,N,9
1H69,FAD,LIG,total,53
1HEX,NAD,PKT,ACC,26
1HEX,NAD,PKT,CB,6
1HEX,NAD,PKT,CA,18
1HEX,NAD,PKT,GRE,24
1HEX,NAD,PKT,DON,21
1HEX,NAD,PKT,total,95
1HEX,NAD,LIG,P,2
1HEX,NAD,LIG,C,21
1HEX,NAD,LIG,O,14
1HEX,NAD,LIG,N,7
1HEX,NAD,LIG,total,44
1HSK,FAD,PKT,ACC,39
1HSK,FAD,PKT,CB,7
1HSK,FAD,PKT,CA,31
1HSK,FAD,PKT,GRE,66
1HSK,FAD,PKT,DON,46
1HSK,FAD,PKT,total,189
1HSK,FAD,LIG,P,2
1HSK,FAD,LIG,C,27
1HSK,FAD,LIG,O,15
1HSK,FAD,LIG,N,9
1HSK,FAD,LIG,total,53
1IB0,NAD,PKT,ACC,23
1IB0,NAD,PKT,CB,5
1IB0,NAD,PKT,CA,18
1IB0,NAD,PKT,GRE,36
1IB0,NAD,PKT,DON,19
1IB0,NAD,PKT,total,101
1IB0,NAD,LIG,P,2
1IB0,NAD,LIG,C,21
1IB0,NAD,LIG,O,14
1IB0,NAD,LIG,N,7
1IB0,NAD,LIG,total,44
1IQC,HEM,PKT,ACC,36
1IQC,HEM,PKT,CB,7
1IQC,HEM,PKT,CA,24
1IQC,HEM,PKT,GRE,50
1IQC,HEM,PKT,DON,36
1IQC,HEM,PKT,total,153
1IQC,HEM,LIG,C,34
1IQC,HEM,LIG,FE,1
1IQC,HEM,LIG,O,4
1IQC,HEM,LIG,N,4
1IQC,HEM,LIG,total,43
1J99,AND,PKT,ACC,10
1J99,AND,PKT,CB,2
1J99,AND,PKT,CA,8
1J99,AND,PKT,GRE,53
1J99,AND,PKT,DON,16
1J99,AND,PKT,total,89
1J99,AND,LIG,C,19
1J99,AND,LIG,O,2
1J99,AND,LIG,total,21
1JA1,FMN,PKT,ACC,28
1JA1,FMN,PKT,CB,9
1JA1,FMN,PKT,CA,21
1JA1,FMN,PKT,GRE,35
1JA1,FMN,PKT,DON,35
1JA1,FMN,PKT,total,128
1JA1,FMN,LIG,P,1
1JA1,FMN,LIG,C,17
1JA1,FMN,LIG,O,9
1JA1,FMN,LIG,N,4
1JA1,FMN,LIG,total,31
1JP4,AMP,PKT,ACC,31
1JP4,AMP,PKT,CB,7
1JP4,AMP,PKT,CA,14
1JP4,AMP,PKT,GRE,13
1JP4,AMP,PKT,DON,24
1JP4,AMP,PKT,total,89
1JP4,AMP,LIG,P,1
1JP4,AMP,LIG,C,10
1JP4,AMP,LIG,O,7
1JP4,AMP,LIG,N,5
1JP4,AMP,LIG,total,23
1JQ5,NAD,PKT,ACC,37
1JQ5,NAD,PKT,CB,12
1JQ5,NAD,PKT,CA,24
1JQ5,NAD,PKT,GRE,48
1JQ5,NAD,PKT,DON,34
1JQ5,NAD,PKT,total,155
1JQ5,NAD,LIG,P,2
1JQ5,NAD,LIG,C,21
1JQ5,NAD,LIG,O,14
1JQ5,NAD,LIG,N,7
1JQ5,NAD,LIG,total,44
1JQI,FAD,PKT,ACC,36
1JQI,FAD,PKT,CB,9
1JQI,FAD,PKT,CA,30
1JQI,FAD,PKT,GRE,85
1JQI,FAD,PKT,DON,42
1JQI,FAD,PKT,total,202
1JQI,FAD,LIG,P,2
1JQI,FAD,LIG,C,27
1JQI,FAD,LIG,O,15
1JQI,FAD,LIG,N,9
1JQI,FAD,LIG,total,53
1JR8,FAD,PKT,ACC,32
1JR8,FAD,PKT,CB,8
1JR8,FAD,PKT,CA,15
1JR8,FAD,PKT,GRE,64
1JR8,FAD,PKT,DON,38
1JR8,FAD,PKT,total,157
1JR8,FAD,LIG,P,2
1JR8,FAD,LIG,C,27
1JR8,FAD,LIG,O,15
1JR8,FAD,LIG,N,9
1JR8,FAD,LIG,total,53
1K1W,GLC,PKT,ACC,13
1K1W,GLC,PKT,CB,3
1K1W,GLC,PKT,CA,3
1K1W,GLC,PKT,GRE,34
1K1W,GLC,PKT,DON,15
1K1W,GLC,PKT,total,68
1K1W,GLC,LIG,C,6
1K1W,GLC,LIG,O,6
1K1W,GLC,LIG,total,12
1K87,FAD,PKT,ACC,46
1K87,FAD,PKT,CB,11
1K87,FAD,PKT,CA,30
1K87,FAD,PKT,GRE,73
1K87,FAD,PKT,DON,54
1K87,FAD,PKT,total,214
1K87,FAD,LIG,P,2
1K87,FAD,LIG,C,27
1K87,FAD,LIG,O,15
1K87,FAD,LIG,N,9
1K87,FAD,LIG,total,53
1KHT,AMP,PKT,ACC,23
1KHT,AMP,PKT,CB,4
1KHT,AMP,PKT,CA,13
1KHT,AMP,PKT,GRE,26
1KHT,AMP,PKT,DON,27
1KHT,AMP,PKT,total,93
1KHT,AMP,LIG,P,1
1KHT,AMP,LIG,C,10
1KHT,AMP,LIG,O,7
1KHT,AMP,LIG,N,5
1KHT,AMP,LIG,total,23
1KVK,ATP,PKT,ACC,29
1KVK,ATP,PKT,CB,8
1KVK,ATP,PKT,CA,18
1KVK,ATP,PKT,GRE,30
1KVK,ATP,PKT,DON,27
1KVK,ATP,PKT,total,112
1KVK,ATP,LIG,P,3
1KVK,ATP,LIG,C,10
1KVK,ATP,LIG,O,13
1KVK,ATP,LIG,N,5
1KVK,ATP,LIG,total,31
1LHU,EST,PKT,ACC,20
1LHU,EST,PKT,CB,7
1LHU,EST,PKT,CA,16
1LHU,EST,PKT,GRE,44
1LHU,EST,PKT,DON,18
1LHU,EST,PKT,total,105
1LHU,EST,LIG,C,18
1LHU,EST,LIG,O,2
1LHU,EST,LIG,total,20
1MEW,NAD,PKT,ACC,22
1MEW,NAD,PKT,CB,7
1MEW,NAD,PKT,CA,14
1MEW,NAD,PKT,GRE,18
1MEW,NAD,PKT,DON,23
1MEW,NAD,PKT,total,84
1MEW,NAD,LIG,P,2
1MEW,NAD,LIG,C,21
1MEW,NAD,LIG,O,14
1MEW,NAD,LIG,N,7
1MEW,NAD,LIG,total,44
1MI3,NAD,PKT,ACC,42
1MI3,NAD,PKT,CB,13
1MI3,NAD,PKT,CA,23
1MI3,NAD,PKT,GRE,63
1MI3,NAD,PKT,DON,46
1MI3,NAD,PKT,total,187
1MI3,NAD,LIG,P,2
1MI3,NAD,LIG,C,21
1MI3,NAD,LIG,O,14
1MI3,NAD,LIG,N,7
1MI3,NAD,LIG,total,44
1MVL,FMN,PKT,ACC,19
1MVL,FMN,PKT,CB,9
1MVL,FMN,PKT,CA,14
1MVL,FMN,PKT,GRE,16
1MVL,FMN,PKT,DON,27
1MVL,FMN,PKT,total,85
1MVL,FMN,LIG,P,1
1MVL,FMN,LIG,C,17
1MVL,FMN,LIG,O,9
1MVL,FMN,LIG,N,4
1MVL,FMN,LIG,total,31
1NAZ,HEM,PKT,ACC,20
1NAZ,HEM,PKT,CB,4
1NAZ,HEM,PKT,CA,15
1NAZ,HEM,PKT,GRE,67
1NAZ,HEM,PKT,DON,31
1NAZ,HEM,PKT,total,137
1NAZ,HEM,LIG,C,34
1NAZ,HEM,LIG,FE,1
1NAZ,HEM,LIG,O,4
1NAZ,HEM,LIG,N,4
1NAZ,HEM,LIG,total,43
1NF5,BGC,PKT,ACC,14
1NF5,BGC,PKT,CB,3
1NF5,BGC,PKT,CA,6
1NF5,BGC,PKT,GRE,33
1NF5,BGC,PKT,DON,18
1NF5,BGC,PKT,total,74
1NF5,BGC,LIG,C,6
1NF5,BGC,LIG,O,6
1NF5,BGC,LIG,total,12
1NP4,HEM,PKT,ACC,19
1NP4,HEM,PKT,CB,3
1NP4,HEM,PKT,CA,10
1NP4,HEM,PKT,GRE,79
1NP4,HEM,PKT,DON,17
1NP4,HEM,PKT,total,128
1NP4,HEM,LIG,C,34
1NP4,HEM,LIG,FE,1
1NP4,HEM,LIG,O,4
1NP4,HEM,LIG,N,4
1NP4,HEM,LIG,total,43
1O04,NAD,PKT,ACC,38
1O04,NAD,PKT,CB,4
1O04,NAD,PKT,CA,24
1O04,NAD,PKT,GRE,65
1O04,NAD,PKT,DON,34
1O04,NAD,PKT,total,165
1O04,NAD,LIG,P,2
1O04,NAD,LIG,C,21
1O04,NAD,LIG,O,14
1O04,NAD,LIG,N,7
1O04,NAD,LIG,total,44
1O9T,ATP,PKT,ACC,25
1O9T,ATP,PKT,CB,4
1O9T,ATP,PKT,CA,7
1O9T,ATP,PKT,GRE,16
1O9T,ATP,PKT,DON,15
1O9T,ATP,PKT,total,67
1O9T,ATP,LIG,P,3
1O9T,ATP,LIG,C,10
1O9T,ATP,LIG,O,13
1O9T,ATP,LIG,N,5
1O9T,ATP,LIG,total,31
1OG3,NAD,PKT,ACC,29
1OG3,NAD,PKT,CB,8
1OG3,NAD,PKT,CA,16
1OG3,NAD,PKT,GRE,37
1OG3,NAD,PKT,DON,33
1OG3,NAD,PKT,total,123
1OG3,NAD,LIG,P,2
1OG3,NAD,LIG,C,21
1OG3,NAD,LIG,O,14
1OG3,NAD,LIG,N,7
1OG3,NAD,LIG,total,44
1P4C,FMN,PKT,ACC,33
1P4C,FMN,PKT,CB,8
1P4C,FMN,PKT,CA,21
1P4C,FMN,PKT,GRE,36
1P4C,FMN,PKT,DON,40
1P4C,FMN,PKT,total,138
1P4C,FMN,LIG,P,1
1P4C,FMN,LIG,C,17
1P4C,FMN,LIG,O,9
1P4C,FMN,LIG,N,4
1P4C,FMN,LIG,total,31
1P4M,FMN,PKT,ACC,24
1P4M,FMN,PKT,CB,5
1P4M,FMN,PKT,CA,17
1P4M,FMN,PKT,GRE,34
1P4M,FMN,PKT,DON,24
1P4M,FMN,PKT,total,104
1P4M,FMN,LIG,P,1
1P4M,FMN,LIG,C,17
1P4M,FMN,LIG,O,9
1P4M,FMN,LIG,N,4
1P4M,FMN,LIG,total,31
1PO5,HEM,PKT,ACC,29
1PO5,HEM,PKT,CB,5
1PO5,HEM,PKT,CA,21
1PO5,HEM,PKT,GRE,53
1PO5,HEM,PKT,DON,37
1PO5,HEM,PKT,total,145
1PO5,HEM,LIG,C,34
1PO5,HEM,LIG,FE,1
1PO5,HEM,LIG,O,4
1PO5,HEM,LIG,N,4
1PO5,HEM,LIG,total,43
1POX,FAD,PKT,ACC,45
1POX,FAD,PKT,CB,12
1POX,FAD,PKT,CA,32
1POX,FAD,PKT,GRE,67
1POX,FAD,PKT,DON,40
1POX,FAD,PKT,total,196
1POX,FAD,LIG,P,2
1POX,FAD,LIG,C,27
1POX,FAD,LIG,O,15
1POX,FAD,LIG,N,9
1POX,FAD,LIG,total,53
1PP9,HEM,PKT,ACC,31
1PP9,HEM,PKT,CB,3
1PP9,HEM,PKT,CA,21
1PP9,HEM,PKT,GRE,83
1PP9,HEM,PKT,DON,33
1PP9,HEM,PKT,total,171
1PP9,HEM,LIG,C,34
1PP9,HEM,LIG,FE,1
1PP9,HEM,LIG,O,4
1PP9,HEM,LIG,N,4
1PP9,HEM,LIG,total,43
1QAX,NAD,PKT,ACC,33
1QAX,NAD,PKT,CB,10
1QAX,NAD,PKT,CA,24
1QAX,NAD,PKT,GRE,44
1QAX,NAD,PKT,DON,34
1QAX,NAD,PKT,total,145
1QAX,NAD,LIG,P,2
1QAX,NAD,LIG,C,21
1QAX,NAD,LIG,O,14
1QAX,NAD,LIG,N,7
1QAX,NAD,LIG,total,44
1QB8,AMP,PKT,ACC,16
1QB8,AMP,PKT,CB,4
1QB8,AMP,PKT,CA,12
1QB8,AMP,PKT,GRE,30
1QB8,AMP,PKT,DON,21
1QB8,AMP,PKT,total,83
1QB8,AMP,LIG,P,1
1QB8,AMP,LIG,C,10
1QB8,AMP,LIG,O,7
1QB8,AMP,LIG,N,5
1QB8,AMP,LIG,total,23
1QHU,HEM,PKT,ACC,23
1QHU,HEM,PKT,CB,6
1QHU,HEM,PKT,CA,11
1QHU,HEM,PKT,GRE,54
1QHU,HEM,PKT,DON,32
1QHU,HEM,PKT,total,126
1QHU,HEM,LIG,C,34
1QHU,HEM,LIG,FE,1
1QHU,HEM,LIG,O,4
1QHU,HEM,LIG,N,4
1QHU,HEM,LIG,total,43
1QKT,EST,PKT,ACC,16
1QKT,EST,PKT,CB,2
1QKT,EST,PKT,CA,11
1QKT,EST,PKT,GRE,40
1QKT,EST,PKT,DON,16
1QKT,EST,PKT,total,85
1QKT,EST,LIG,C,18
1QKT,EST,LIG,O,2
1QKT,EST,LIG,total,20
1QLA,HEM,PKT,ACC,34
1QLA,HEM,PKT,CB,3
1QLA,HEM,PKT,CA,26
1QLA,HEM,PKT,GRE,61
1QLA,HEM,PKT,DON,36
1QLA,HEM,PKT,total,160
1QLA,HEM,LIG,C,34
1QLA,HEM,LIG,FE,1
1QLA,HEM,LIG,O,4
1QLA,HEM,LIG,N,4
1QLA,HEM,LIG,total,43
1QPA,HEM,PKT,ACC,32
1QPA,HEM,PKT,CB,5
1QPA,HEM,PKT,CA,23
1QPA,HEM,PKT,GRE,62
1QPA,HEM,PKT,DON,29
1QPA,HEM,PKT,total,151
1QPA,HEM,LIG,C,34
1QPA,HEM,LIG,FE,1
1QPA,HEM,LIG,O,4
1QPA,HEM,LIG,N,4
1QPA,HEM,LIG,total,43
1RDQ,ATP,PKT,ACC,32
1RDQ,ATP,PKT,CB,6
1RDQ,ATP,PKT,CA,24
1RDQ,ATP,PKT,GRE,55
1RDQ,ATP,PKT,DON,31
1RDQ,ATP,PKT,total,148
1RDQ,ATP,LIG,P,3
1RDQ,ATP,LIG,C,10
1RDQ,ATP,LIG,O,13
1RDQ,ATP,LIG,N,5
1RDQ,ATP,LIG,total,31
1RLZ,NAD,PKT,ACC,37
1RLZ,NAD,PKT,CB,11
1RLZ,NAD,PKT,CA,22
1RLZ,NAD,PKT,GRE,21
1RLZ,NAD,PKT,DON,33
1RLZ,NAD,PKT,total,124
1RLZ,NAD,LIG,P,2
1RLZ,NAD,LIG,C,21
1RLZ,NAD,LIG,O,14
1RLZ,NAD,LIG,N,7
1RLZ,NAD,LIG,total,44
1S7G,NAD,PKT,ACC,40
1S7G,NAD,PKT,CB,7
1S7G,NAD,PKT,CA,27
1S7G,NAD,PKT,GRE,38
1S7G,NAD,PKT,DON,42
1S7G,NAD,PKT,total,154
1S7G,NAD,LIG,P,2
1S7G,NAD,LIG,C,21
1S7G,NAD,LIG,O,14
1S7G,NAD,LIG,N,7
1S7G,NAD,LIG,total,44
1SOX,HEM,PKT,ACC,19
1SOX,HEM,PKT,CB,2
1SOX,HEM,PKT,CA,14
1SOX,HEM,PKT,GRE,69
1SOX,HEM,PKT,DON,17
1SOX,HEM,PKT,total,121
1SOX,HEM,LIG,C,34
1SOX,HEM,LIG,FE,1
1SOX,HEM,LIG,O,4
1SOX,HEM,LIG,N,4
1SOX,HEM,LIG,total,43
1T2D,NAD,PKT,ACC,36
1T2D,NAD,PKT,CB,9
1T2D,NAD,PKT,CA,28
1T2D,NAD,PKT,GRE,66
1T2D,NAD,PKT,DON,33
1T2D,NAD,PKT,total,172
1T2D,NAD,LIG,P,2
1T2D,NAD,LIG,C,21
1T2D,NAD,LIG,O,14
1T2D,NAD,LIG,N,7
1T2D,NAD,LIG,total,44
1TB7,AMP,PKT,ACC,24
1TB7,AMP,PKT,CB,5
1TB7,AMP,PKT,CA,5
1TB7,AMP,PKT,GRE,35
1TB7,AMP,PKT,DON,16
1TB7,AMP,PKT,total,85
1TB7,AMP,LIG,P,1
1TB7,AMP,LIG,C,10
1TB7,AMP,LIG,O,7
1TB7,AMP,LIG,N,5
1TB7,AMP,LIG,total,23
1TID,ATP,PKT,ACC,32
1TID,ATP,PKT,CB,7
1TID,ATP,PKT,CA,22
1TID,ATP,PKT,GRE,31
1TID,ATP,PKT,DON,34
1TID,ATP,PKT,total,126
1TID,ATP,LIG,P,3
1TID,ATP,LIG,C,10
1TID,ATP,LIG,O,13
1TID,ATP,LIG,N,5
1TID,ATP,LIG,total,31
1TOX,NAD,PKT,ACC,27
1TOX,NAD,PKT,CB,5
1TOX,NAD,PKT,CA,18
1TOX,NAD,PKT,GRE,52
1TOX,NAD,PKT,DON,23
1TOX,NAD,PKT,total,125
1TOX,NAD,LIG,P,2
1TOX,NAD,LIG,C,21
1TOX,NAD,LIG,O,14
