1a28	STR
4twp	AXI
4uye	9F9
4uyf	73B
4v01	0LI
4v24	GYR
4wa9	AXI
4wiv	3P2
4wov	3SM
4wr7	3TV
4wt2	3UD
4wup	3UF
4ww6	3TV
4ww8	VD9
4x6i	3Y1
4x6m	3Y3
4x6n	3Y5
4x6o	3Y4
4x6p	3YU
4xaq	40F
4xar	40F
4xip	40W
4xiq	40Y
4xmb	41P
4xt2	43L
4y79	4O6
4y8x	4GR
4yzu	4K6
4z0q	4K9
4z1j	4KC
4z1k	4KB
4z93	4LD
4zae	4M1
4zbi	4M6
4zji	4OQ
4zo5	4Q0
4zyf	4T4
4zzx	FSU
4zzy	D7N
4zzz	FSU
5a5q	6XC
5a81	78J
5acy	9S3
5am6	38O
5am7	38O
5aut	2AN
5byi	4WA
5c1w	4XS
5c28	4XV
5c2a	4Y2
5c2h	4XU
5cep	50E
5ceq	50F
5cjf	520
5dit	5B8
5dwr	5H7
5e2r	520
5fl4	9FK
5fl5	82E
5fl6	Y0R
966c	RS2
