13gs	P09211
1xap	P10826
1xbb	P43405
1xka	P00742
1xkk	P00533
1xlx	Q07343
1xlz	Q07343
1xm4	Q07343
1xm6	Q07343
1xmu	Q07343
1xmy	Q07343
1xom	Q08499
1xon	Q08499
1xoq	Q08499
1xor	Q08499
1xos	Q07343
1xot	Q07343
1xow	P10275
1xoz	O76074
1xp0	O76074
1xp1	P03372
1xp6	P03372
1xp9	P03372
1xpc	P03372
1xs7	P56817
1xuc	P45452
1xud	P45452
1xur	P45452
1xws	P11309
1y0x	P10828
1y57	P12931
1y6a	P35968
1y91	P24941
1ya4	P23141
1yc1	P07900
1yc4	P07900
1ycm	P39900
1yda	P00918
1ydb	P00918
1ydd	P00918
1yet	P07900
1yi3	P11309
1you	P45452
1yq7	P14324
1ysi	Q07817
1yt7	P43235
1yw8	P50579
1z3j	P39900
1z5m	O15530
1z6e	P00742
1z6j	P08709
1z95	P10275
1z9y	P00918
1zaf	Q92731
1zfk	P00918
1zfq	P00918
1zge	P00918
1zgv	P00734
1zkl	Q13946
1zkn	Q08499
1zpc	P03951
1zrz	P41743
1zs0	P22894
1zsb	P00918
1ztq	P45452
1zuc	P06401
1zvx	P22894
1zxc	P78536
1zyj	Q16539
1zz2	Q16539
1zzl	Q16539
2a0c	P24941
2a14	O95050
2a2x	P00734
2a4l	P24941
2a5u	P48736
2a8h	P78536
2aa6	P08235
2adu	P50579
2am9	P10275
2ama	P10275
2ank	P00734
2anm	P00734
2ao6	P10275
2ath	P37231
2aux	P43235
2auz	P43235
2aw1	P00918
2ax6	P10275
2ax9	P10275
2ayp	O14757
2ayr	P03372
2b1p	P53779
2b7a	O60674
2b8l	P56817
2b8v	P56817
2baj	Q16539
2bak	Q16539
2bdf	P12931
2bdj	P12931
2bdy	P00734
2bgd	P18031
2bkt	P00797
2bmg	P00742
2boh	P00742
2bq6	P00742
2bq7	P00742
2bqw	P00742
2brb	O14757
2brg	O14757
2brm	O14757
2bub	P27487
2byh	P07900
2byi	P07900
2bz5	P07900
2c02	P10153
2c0o	P08631
2c3i	P11309
2c3j	O14757
2c3l	O14757
2c5n	P24941
2c5o	P24941
2c6e	O14965
2c6g	Q04609
2c6k	P24941
2c6l	P24941
2c6m	P24941
2c6o	P24941
2c8x	P00734
2cbz	P33527
2ccs	P07900
2cct	P07900
2ccu	P07900
2chz	P48736
2cji	P00742
2cn8	O96017
2cne	P18031
2cnf	P18031
2dq7	P06241
2duv	P24941
2e2b	P00519
2e2r	P62508
2e9n	O14757
2e9o	O14757
2e9u	O14757
2e9v	O14757
2ea2	P50579
2ea4	P50579
2ei6	P00742
2esm	Q13464
2etk	Q13464
2etm	Q05397
2etr	Q13464
2ewp	P62508
2exc	P53779
2f14	P00918
2f1g	P25774
2f3e	P56817
2f3f	P56817
2f4b	P37231
2f4j	P00519
2f6z	P18031
2f71	P18031
2f89	P14324
2f94	P14324
2f9b	P08709
2f9k	P14324
2fdp	P56817
2fes	P00734
2fgi	P11362
2fhy	P09467
2fix	P09467
2fjp	P27487
2fky	P52732
2fl2	P52732
2fl6	P52732
2flb	P08709
2fme	P52732
2fv5	P78536
2fvd	P24941
2fwy	P07900
2fwz	P07900
2fzz	P00742
2g00	P00742
2g01	P45983
2g0g	P37231
2g19	Q9GZT9
2g1r	P00797
2g1y	P00797
2g24	P00797
2g5p	P27487
2g5t	P27487
2g63	P27487
2g71	P11086
2g72	P11086
2g94	P56817
2gd8	P00918
2gdo	O14757
2gfs	Q16539
2ghg	O14757
2giu	Q92731
2gmv	P35558
2gmx	P45983
2gss	P09211
2gu8	P17612
2gv6	Q9Y5Y6
2gv7	Q9Y5Y6
2h15	P00918
2h42	O76074
2h4g	P18031
2h4k	P18031
2h4n	P00918
2h8h	P12931
2h96	P45983
2hd6	P00918
2hh5	P25774
2hhn	P25774
2hk5	P08631
2hl4	P00918
2hmb	P05413
2hnc	P00918
2hnx	P15090
2hoc	P00918
2hog	O14757
2hvc	P10275
2hxl	O14757
2hxq	O14757
2hy0	O14757
2hyy	P00519
2hzi	P00519
2i0g	Q92731
2i0h	Q16539
2i0j	P03372
2i0v	P07333
2i0y	P07333
2i1m	P07333
2i40	P24941
2i47	P78536
2i4j	P37231
2i4p	P37231
2i4z	P37231
2ica	P20701
2ieh	P52732
2iiv	P27487
2iko	P00797
2il2	P00797
2in6	P30291
2io6	P30291
2iog	P03372
2iok	P03372
2iqg	P56817
2irz	P56817
2ito	P00533
2itp	P00533
2itt	P00533
2ity	P00533
2itz	P00533
2ivu	P07949
2iw8	P24941
2iw9	P24941
2j2i	P11309
2j2u	P00742
2j34	P00742
2j4a	P10828
2j4i	P00742
2j50	O14965
2j6m	P00533
2j94	P00742
2j95	P00742
2jbj	Q04609
2jbk	Q04609
2jbo	P49137
2jbp	P49137
2jdo	P31751
2jh0	P00734
2jh5	P00734
2jh6	P00734
2jiu	P00533
2jj3	Q92731
2jjk	P09467
2jnp	P08254
2jt5	P08254
2jt6	P08254
2l84	Q92793
2lkk	P07148
2lzg	Q00987
2nn1	P00915
2nng	P00918
2nno	P00918
2nnq	P15090
2no3	P45983
2np8	O14965
2nsx	P04062
2nt7	P18031
2nv7	Q92731
2o0u	P53779
2o22	P10415
2o2u	P53779
2o3p	P11309
2o4z	P00918
2o5k	P49841
2o63	P11309
2o64	P11309
2o9i	O75469
2oag	P27487
2oax	P08235
2oaz	P50579
2obj	P11309
2oc2	P12821
2oc4	P00491
2oc9	P00491
2of2	P06239
2of4	P06239
2ofu	P06239
2ofv	P06239
2og8	P06239
2ogz	P27487
2oh4	P35968
2oht	P56817
2ohu	P56817
2oi0	P78536
2oic	Q9NWZ3
2oj9	P08069
2ojg	P28482
2oji	P28482
2ojj	P28482
2ok1	P53779
2ole	P27487
2on6	P00491
2onc	P27487
2ony	P11086
2onz	P11086
2oo8	Q02763
2ooh	P14174
2ooz	P14174
2opb	P11086
2oph	P27487
2oq6	O75164
2oqi	P27487
2oqv	P27487
2or4	Q04609
2osc	Q02763
2ow9	P45452
2oz7	P10275
2ozr	P45452
2p16	P00742
2p2h	P35968
2p2i	P35968
2p33	P53779
2p3g	P49137
2p4i	Q02763
2p4j	P56817
2p7g	P62508
2p7z	P62508
2p83	P56817
2p8s	P27487
2p93	P00742
2p94	P00742
2p95	P00742
2pg2	P52732
2ph6	P56817
2phb	P00742
2pix	P10275
2pjl	P11474
2pjt	P45452
2pl0	P06239
2pou	P00918
2pov	P00918
2pow	P00918
2pvw	Q04609
2pze	P13569
2q11	P56817
2q15	P56817
2q1l	P04035
2q1q	P00918
2q2y	P52732
2q38	P00918
2q6b	P04035
2q70	P03372
2q7m	P20292
2q7o	P00491
2q8s	P37231
2qa8	P03372
2qbp	P18031
2qbq	P18031
2qbr	P18031
2qbs	P18031
2qcd	P11172
2qe4	P03372
2qk5	P56817
2qky	P27487
2qmd	P56817
2qmf	P56817
2qmg	P56817
2qoa	P00918
2qoe	P27487
2qp8	P56817
2qt9	P27487
2qtb	P27487
2qtu	Q92731
2qu2	P56817
2qu3	P56817
2qu6	P35968
2qyn	Q08499
2qzl	P56817
2r0u	O14757
2r2m	P00734
2r3j	P24941
2r64	P24941
2r6y	P03372
2r7b	O15530
2r9m	P25774
2r9s	P53779
2ra0	P00742
2rcw	P09874
2rd6	P09874
2rfn	P08581
2rg5	Q16539
2rg6	Q16539
2rgu	P27487
2rip	P27487
2rjp	O75173
2rku	P53350
2rl5	P35968
2rox	P02766
2uvm	P31749
2uwd	P07900
2uwl	P00742
2uwo	P00742
2uwp	P00742
2uym	P52732
2uz9	Q9Y2T3
2uzb	P24941
2uzd	P24941
2uzl	P24941
2uzn	P24941
2v0z	P00797
2v10	P00797
2v16	P00797
2v3d	P04062
2v3e	P04062
2v7a	P00519
2va6	P56817
2va7	P56817
2vci	P07900
2vcj	P07900
2vcq	O60760
2vd7	O75164
2vf6	P14324
2vie	P56817
2vip	P00749
2viq	P00749
2viv	P00749
2viw	P00749
2viy	P56817
2vj6	P56817
2vj7	P56817
2vj9	P56817
2vkm	P56817
2vle	P05091
2vnm	P56817
2vnn	P56817
2vnt	P00749
2vta	P24941
2vti	P24941
2vtj	P24941
2vtm	P24941
2vtn	P24941
2vto	P24941
2vtp	P24941
2vtq	P24941
2vtr	P24941
2vts	P24941
2vu3	P24941
2vv9	P24941
2vvc	P00742
2vvu	P00742
2vvv	P00742
2vwl	P00742
2vwm	P00742
2vwn	P00742
2vwo	P00742
2vwu	P54760
2vww	P54760
2vwx	P54760
2vwy	P54760
2vwz	P54760
2vx0	P54760
2vx1	P54760
2w05	P24941
2w17	P24941
2w1d	O14965
2w1f	O14965
2w1h	P24941
2w26	P00742
2w2i	B2RXH2
2w3i	P00742
2w3k	P00742
2w3l	P10415
2w8y	P06401
2waj	P53779
2wbb	P09467
2wbd	P09467
2wd1	P08581
2wd3	P00918
2wej	P00918
2wev	P24941
2wey	Q9Y233
2wf0	P56817
2wf1	P56817
2wgj	P08581
2wi4	P07900
2wi5	P07900
2wi6	P07900
2wi7	P07900
2wih	P24941
2wmx	O14757
2wot	P36897
2wou	P36897
2wpa	P24941
2wqb	Q02763
2wtc	O96017
2wtd	O96017
2wtv	O14965
2wtw	O14965
2wu6	P49761
2wu7	P49761
2wyg	P00742
2wyj	P00742
2x2k	P07949
2x2l	P07949
2x2m	P07949
2x39	P31751
2x6d	O14965
2x6e	O14965
2x7c	P52732
2x7d	P52732
2x7o	P36897
2x7s	P00918
2x7t	P00918
2x81	O14965
2x8d	O14757
2x8e	O14757
2x9e	P33981
2x9f	P54760
2xa4	O60674
2xae	P52732
2xb7	Q9UM73
2xbj	O96017
2xbv	P00742
2xbw	P00742
2xbx	P00742
2xc0	P00742
2xc4	P00742
2xck	O15530
2xdx	P07900
2xey	O14757
2xf0	O14757
2xfi	P56817
2xfj	P56817
2xfk	P56817
2xj1	P11309
2xj2	P11309
2xjx	P07900
2xk7	P51955
2xk8	P51955
2xkc	P51955
2xkd	P51955
2xke	P51955
2xkf	P51955
2xm8	O96017
2xm9	O96017
2xml	Q9H3R0
2xne	O14965
2xnm	P51955
2xno	P51955
2xnp	P51955
2xp7	Q13526
2xpa	Q13526
2xpb	Q13526
2xru	O14965
2xvd	P54760
2xy9	P12821
2xyd	P12821
2xyn	P42684
2y0j	Q9Y233
2y1w	Q86X55
2y34	Q9GZT9
2y5k	P09467
2y5l	P09467
2y6d	P09237
2y7x	P00742
2y7z	P00742
2y80	P00742
2y81	P00742
2y82	P00742
2yac	P53350
2ydi	O14757
2ydj	O14757
2ydk	O14757
2ydv	P29274
2ydw	P25440
2ye9	P07900
2yek	P25440
2yel	O60885
2yem	O60885
2yer	O14757
2yex	O14757
2yfe	P37231
2yi0	P07900
2yi5	P07900
2yi7	P07900
2yig	P45452
2yis	Q16539
2yiw	Q16539
2yix	Q16539
2yjw	P07900
2yki	P07900
2ym7	O14757
2ym8	O14757
2ywp	O14757
2yxj	Q07817
2z4b	Q92731
2z7r	Q15418
2zaz	Q16539
2zb0	Q16539
2zb1	Q16539
2zc9	P00734
2zdt	P53779
2zdz	P56817
2ze1	P56817
2zgx	P00734
2zjw	P68400
2zm1	P06239
2zns	P39086
2zoq	P27361
2zyb	P06239
3a29	P09467
3a4o	P07948
3ads	P37231
3agl	P17612
3ai8	P07858
3ama	P17612
3amb	P17612
3anq	Q13627
3anr	Q13627
3ans	P34913
3ant	P34913
3aox	Q9UM73
3apc	P48736
3ara	P33316
3arn	P33316
3at3	P68400
3at4	P68400
3b0w	P51449
3b1m	P37231
3b24	P07900
3b25	P07900
3b26	P07900
3b27	P07900
3b28	P07900
3b4f	P00918
3b7u	P09960
3b8q	P35968
3b8r	P35968
3b8z	Q9UNA0
3b92	P78536
3bbt	Q15303
3bc5	P37231
3be2	P35968
3bel	P00533
3bet	P00918
3bgp	P11309
3bgq	P11309
3bgz	P11309
3bi6	P30291
3biz	P30291
3blr	P50750
3bm9	P07900
3bmy	P07900
3bpr	Q12866
3bqc	P68400
3bqn	P20701
3bv3	Q16539
3bx5	Q16539
3byo	P06239
3bys	P06239
3byu	P06239
3bz3	Q05397
3c0z	Q8WUI4
3c10	Q8WUI4
3c1x	P08581
3c45	P27487
3c49	Q9Y6F1
3c4c	P15056
3c4f	P11362
3c4h	Q9Y6F1
3c5u	Q16539
3c7q	P35968
3caj	P00918
3cbp	Q8WTS6
3ccc	P27487
3ccn	P08581
3cct	P04035
3ccw	P04035
3ccz	P04035
3cd7	P04035
3cd8	P08581
3ce0	Q9Y6F1
3ce3	P08581
3cen	P00742
3cfn	P02766
3cgf	P53779
3cgo	P53779
3cho	P09960
3chp	P09960
3chq	P09960
3chr	P09960
3cib	P56817
3cic	P56817
3cid	P56817
3cjf	P35968
3ckp	P56817
3ckr	P56817
3cm2	P98170
3cm7	P98170
3cn0	P02766
3coh	O14965
3cp9	P35968
3cpb	P35968
3cpc	P35968
3cqu	P31749
3cqw	P31749
3cs7	P00742
3cth	P08581
3ctj	P08581
3czv	Q8N1Q1
3d0e	P31751
3d2t	P02766
3d3p	Q07343
3d4l	P27487
3d4q	P15056
3d7h	Q04609
3d7z	Q16539
3d83	Q16539
3d8w	P00918
3d91	P00797
3d94	P08069
3d9v	Q13464
3d9z	P00918
3da6	P53779
3dbs	P48736
3dbu	P00918
3dc3	P00918
3dcc	P00918
3dcw	P00918
3dd0	P00918
3dd8	P00918
3ddq	P24941
3deh	P42574
3dgq	P09211
3dog	P24941
3dpd	P48736
3dpe	P22894
3dpf	P22894
3dpk	P07333
3ds6	Q16539
3dt1	Q16539
3du8	P49841
3duy	P56817
3dv5	P56817
3dwb	P42892
3dy6	Q03181
3dz4	P17707
3e2m	P20701
3e3b	P19784
3e5a	O14965
3e63	O60674
3e64	O60674
3e8r	P78536
3e92	Q16539
3e93	Q16539
3ecn	O60658
3ee2	O60760
3efj	P08581
3efk	P08581
3efw	O14965
3eig	P00374
3eio	P27487
3ej1	P24941
3ekn	P06213
3ekr	P07900
3elm	P45452
3emg	P43405
3eml	P29274
3ens	P00742
3eoc	P24941
3eqr	Q07912
3erd	P03372
3ert	P03372
3eta	P06213
3ewh	P35968
3eyl	P98170
3ezv	P24941
3f0r	Q9BY41
3f2a	P11309
3f5p	P08069
3f66	P08581
3f7b	P22748
3f7u	P22748
3f7z	P49841
3f82	P08581
3f8e	P00918
3f8s	P27487
3faa	P36897
3fal	P19793
3fc1	Q16539
3fc2	P53350
3fci	P13051
3ff6	O00763
3ffg	P00742
3ffp	P00918
3fh5	P09960
3fh8	P09960
3fhb	Q9Y6F1
3fhe	P09960
3fhr	Q16644
3fi2	P53779
3fi3	P53779
3fkt	P56817
3fmz	P02753
3fpm	P49137
3fqe	P43405
3fqh	P43405
3fqs	P43405
3fr2	P15090
3fr4	P15090
3fr5	P15090
3frg	Q07343
3fts	P09960
3fui	P09960
3fun	P09960
3fup	O60674
3fur	P37231
3fuz	P39086
3fv8	P53779
3fw3	P22748
3fxw	Q16644
3fyj	P49137
3fyk	P49137
3fz1	P24941
3fzr	Q14289
3fzs	Q14289
3g0b	P27487
3g0e	P10721
3g0f	P10721
3g0g	P27487
3g42	P78536
3g45	Q07343
3g4g	Q08499
3g4i	Q08499
3g4k	Q08499
3g4l	Q08499
3g58	Q08499
3g5k	Q9HBH1
3g6z	P00797
3g70	P00797
3g72	P00797
3g8i	Q07869
3g8o	P06401
3g9e	P37231
3g9l	P53779
3g9n	P53779
3gc7	Q16539
3gcq	Q16539
3gcs	Q16539
3gcu	Q16539
3gcv	Q16539
3gen	Q06187
3gfe	Q16539
3gjw	P09874
3gn7	P09874
3gp0	Q15759
3gus	P09211
3gvu	P42684
3gw5	P00797
3gws	P10828
3gwt	Q07343
3gwx	Q03181
3gxl	P36897
3gxt	P06280
3gz9	Q03181
3h0a	P19793
3h0w	P17707
3h0y	O14965
3h0z	O14965
3h3c	Q14289
3h9k	P04818
3h9o	O15530
3ha6	O14965
3hab	P27487
3hac	P27487
3hb4	P14061
3hb8	P04818
3hc8	O76074
3hdm	O00141
3hdn	O00141
3hec	Q16539
3heg	Q16539
3hf6	P17752
3hfb	P17752
3hhm	P42336
3hig	P19801
3hii	P19801
3hj0	P02766
3hjo	P09211
3hkn	P00918
3hkq	P00918
3hku	P00918
3hl7	Q16539
3hll	Q16539
3hmm	P36897
3hmo	P33981
3hng	P17948
3hp2	Q16539
3hp5	Q16539
3hpt	P00742
3hq5	P06401
3hqr	Q9GZT9
3hrb	Q16539
3hs4	P00918
3hub	Q16539
3huc	Q16539
3hv3	Q16539
3hv4	Q16539
3hv5	Q16539
3hv6	Q16539
3hv7	Q16539
3hvc	Q16539
3hy7	Q9UNA0
3hy9	Q9UNA0
3hyg	Q9UNA0
3i1y	P34913
3i25	P56817
3i28	P34913
3i4b	P49841
3i5n	P08581
3i5z	P28482
3i60	P28482
3i7g	P45452
3i7i	P45452
3i81	P08069
3ia6	P37231
3ibi	P00918
3ibl	P00918
3ibn	P00918
3ibu	P00918
3idp	P15056
3ie3	P09211
3iej	P25774
3ig7	P24941
3igg	P24941
3igp	P00918
3ii5	P15056
3iit	P00742
3ika	P00533
3imy	P10828
3in4	P56817
3inh	P56817
3ion	O15530
3iop	O15530
3iph	Q16539
3ipq	Q13133
3ips	Q13133
3itu	O00408
3itz	Q16539
3ivh	P56817
3iw4	P17252
3iww	Q04609
3ixj	P56817
3ixk	P56817
3jpv	P11309
3jsi	O76083
3jsw	O76083
3jwq	O76074
3jwr	O76074
3jxw	P11309
3jy0	P11309
3jya	P11309
3jzc	P10828
3jzk	Q00987
3k3e	O76083
3k54	Q06187
3k5c	P56817
3k5d	P56817
3k5f	P56817
3k5k	Q96KQ7
3k5u	O14965
3k8o	P00491
3k8q	P00491
3k97	P07900
3k98	P07900
3k99	P07900
3k9x	P00742
3kad	Q13526
3kag	Q13526
3kai	Q13526
3kb7	P53350
3kba	P06401
3kbz	P09467
3kc0	P09467
3kc1	P09467
3kc3	P49137
3kcf	P36897
3kdt	Q07869
3kdu	Q07869
3kec	P45452
3kej	P45452
3ken	P52732
3kfc	P55055
3kga	P49137
3kgt	P02766
3kgu	P02766
3kig	P00918
3kjd	Q9UGN5
3kl6	P00742
3km4	P00797
3kmc	P78536
3kmm	P06239
3koo	P34913
3kqb	P00742
3kqc	P00742
3kqd	P00742
3kqe	P00742
3kqs	P11086
3kr8	Q9H2K2
3krj	P07333
3krl	P07333
3krr	O60674
3krw	P25098
3krx	P25098
3kvw	Q92630
3kvx	P53779
3kw9	P43235
3kwa	P00918
3kwb	P43235
3kwf	P27487
3kwj	P27487
3kwz	P43235
3kx1	P43235
3kyr	P56817
3l08	P48736
3l0e	P55055
3l13	P48736
3l16	P48736
3l17	P48736
3l1s	P49841
3l38	P56817
3l3a	P56817
3l3l	P09874
3l3m	P09874
3l3n	P12821
3l4w	O43451
3l58	P56817
3l5e	P56817
3l5f	P56817
3l5r	P14174
3l8s	Q16539
3l8v	P08581
3l8x	Q16539
3l9h	P52732
3l9l	P17612
3lbj	O15151
3lbk	Q00987
3lbl	Q00987
3lco	P07333
3ldp	P11021
3ldq	P11142
3lfs	P24941
3lgp	P78536
3lhg	P56817
3lhj	Q16539
3lj3	P48736
3ljt	Q9UNA0
3ljz	P45452
3lk8	P39900
3lmk	P41594
3lmp	P37231
3lnk	P56817
3lpb	O60674
3lpi	P56817
3lpj	P56817
3lpk	P56817
3lq8	P08581
3lxe	P00915
3lxk	P52333
3lxl	P52333
3ly2	Q07343
3lzb	P00533
3m11	O14965
3m2w	P49137
3m36	P00742
3m37	P00742
3m3x	P00918
3m40	P00918
3m5e	P00918
3m67	P00918
3m6f	P20701
3m96	P00918
3max	Q92769
3mbl	Q02750
3mdz	P43166
3mhi	P00918
3mhl	P00918
3mhm	P00918
3mho	P00918
3mi2	P11172
3miy	Q08881
3ml2	P00918
3ml5	P43166
3mmf	P00918
3mna	P00918
3mnu	P00918
3mo5	Q9H9B1
3mpe	P25774
3mpf	P25774
3mpt	Q16539
3msl	P56817
3mvj	P17612
3mvl	Q16539
3mvm	Q16539
3mw1	Q16539
3myg	O14965
3myq	P00918
3mzc	P00918
3n0n	P00918
3n2p	P00918
3n2u	P39900
3n2v	P39900
3n3g	P25774
3n3j	P00918
3n4b	P00918
3n4l	P56817
3n7r	Q16602
3n7s	Q16602
3nb5	P00918
3nc9	P50053-2KETOHEXOKINASE
3ncz	Q13464
3nee	P02766
3nes	P02766
3nga	P68400
3ni5	P00918
3njy	O75164
3nmq	P08238
3nnv	Q16539
3npc	P45984
3nrm	O14965
3ns9	P24941
3nsh	P56817
3nw5	P08069
3nw6	P08069
3nw7	P08069
3nww	Q16539
3nx7	P39900
3nxq	P12821
3nzs	P48736
3nzu	P48736
3o0g	Q00535
3o1g	P43235
3o23	P08069
3o5x	Q06124
3o64	P78536
3o8p	Q16539
3o96	P31749
3o9l	P00797
3o9v	P27487
3oad	P00797
3oaf	P00374
3ocg	Q16539
3oct	Q06187
3odu	P61073
3oe6	P61073
3oe8	P61073
3oe9	P61073
3oik	P00918
3olf	Q96RI1
3omm	Q96RI1
3oob	Q13526
3oof	Q96RI1
3ook	Q96RI1
3oot	P00797
3ooz	P56817
3oqf	P00797
3oqk	P00797
3orn	Q02750
3otq	P34913
3ouh	Q9GZT9
3ouj	Q9GZT9
3ow4	P31749
3owb	P07900
3owd	P07900
3oxi	P53779
3oy0	P00918
3oy1	P53779
3oyq	P00918
3oz1	Q13490
3p23	O75460
3p3r	P02766
3p3s	P02766
3p3t	P02766
3p3u	P02766
3p4v	P00918
3p5o	O60885
3p9j	O14965
3pa3	O14757
3pa4	O14757
3pa5	O14757
3pbb	Q16769
3pdq	O75164
3pe1	P68400
3pe2	P68400
3pi5	P56817
3pix	Q06187
3piy	Q06187
3pj1	Q06187
3pj8	P24941
3pjc	P52333
3poz	P00533
3pp0	P04626
3pp1	Q02750
3ppk	P15056
3prf	P15056
3ptg	P53779
3pwh	P29274
3pxf	P24941
3pxq	P24941
3py0	P24941
3py1	P24941
3q32	O60674
3q3k	P00742
3q3t	P00797
3q4b	P00797
3q5h	P00797
3q6w	P08581
